source_id,date,type,status,source_or_sender,subject_or_file,tracked_or_local_location,content_note,privacy_note
"SRC-LOCAL-01","2025-10-14","local_pdf","archived","Jason Lin","application packet","/home/jnln3799/system-hub/admin/inventory/applications/2025-2026-moe-nstc-phd-scholarship/2025-10-14_application-packet_moe-nstc-phd-scholarship_jason-lin.pdf","Full 69-page application packet with application form, labor insurance query, pledge, enrollment certificate, evidence, research plan, and review materials","Raw private source owner-only local archive"
"SRC-LOCAL-02","2025-10-14","local_pdf","archived","Gmail export","sent application and receipt instruction","/home/jnln3799/system-hub/admin/inventory/applications/2025-2026-moe-nstc-phd-scholarship/2025-10-14_gmail-sent-application-packet-and-receipt.pdf","Submission email and college reply asking for pages 1-3 paper print and department chair seal route","Contains personal contact details"
"SRC-LOCAL-03","2025-11-07","local_pdf","archived","Gmail export","student data form request reply receipt","/home/jnln3799/system-hub/admin/inventory/applications/2025-2026-moe-nstc-phd-scholarship/2025-11-07_gmail-student-data-form-request-reply-receipt.pdf","College requested student data spreadsheet and payment-account supporting material; Jason replied done; college confirmed receipt","Contains bank-account-adjacent attachment references"
"SRC-LOCAL-04","2025-11-13","local_pdf","archived","Gmail export","MOE second-batch announcement","/home/jnln3799/system-hub/admin/inventory/applications/2025-2026-moe-nstc-phd-scholarship/2025-11-13_gmail-moe-second-batch-announcement.pdf","Second batch announcement with eligibility, amount, matching fund, renewal, and selection criteria","General announcement"
"SRC-LOCAL-05","2025-11-20","local_pdf","archived","Gmail export","scholarship distribution data form","/home/jnln3799/system-hub/admin/inventory/applications/2025-2026-moe-nstc-phd-scholarship/2025-11-20_gmail-scholarship-distribution-data-form.pdf","Institute required Google Form by 2025-11-21 17:00 for scholarship distribution and payment-account info","Contains payment-account process reference"
"SRC-LOCAL-06","2025-12-22","local_pdf","archived","Gmail export","award list notice","/home/jnln3799/system-hub/admin/inventory/applications/2025-2026-moe-nstc-phd-scholarship/2025-12-22_gmail-award-list-notice.pdf","Institute forwarded college notice listing Jason as MOE scholarship awardee and award period 2025-09-01 to 2026-08-31","Awardee list"
"SRC-LOCAL-07","2026-05-11","local_pdf","archived","Gmail export","renewal review and bonus application","/home/jnln3799/system-hub/admin/inventory/applications/2025-2026-moe-nstc-phd-scholarship/2026-05-11_gmail-renewal-review-and-bonus-application.pdf","Renewal review and MOE bonus application notice due 2026-05-20 with 10 listed attachments","Current active deadline"
"SRC-GMAIL-01","2025-10-07","gmail","read","Guan Xinbei forwarded by Prof. Wu","initial 114 NSTC/MOE application opening","Gmail id 199bcf6d432b6d2e","Manual process because scholarship system was unavailable; application by 2025-10-19 23:59; paper pages due to college route; initial application-notes attachment parsed","Large recipient list"
"SRC-GMAIL-02","2025-10-08","gmail","read","Institute of Biophotonics","initial 114 NSTC/MOE application notice","Gmail id 199c1ec2440b13be","Institute told interested students to email Ms. Kuan by 2025-10-19 23:59 and cc the office","Large recipient list"
"SRC-GMAIL-03","2025-10-09","gmail","metadata","Prof. Wu","scholarship briefing PPT","Gmail id 199c8592879a6f6f","Forwarded 2025-10-09 briefing PDF from college route","Attachment not downloaded in this pass"
"SRC-GMAIL-04","2025-10-14","gmail","metadata","Institute of Biophotonics","English application-form notice","Gmail ids 199e077678c18d69 and 199e07aae7f589b0","Forwarded English application form and student information templates","Large recipient list"
"SRC-GMAIL-05","2025-10-14","gmail","read","Jason Lin","submitted full application packet","Gmail id 199e20aa0c5735f5","Jason submitted single PDF to college contact; college confirmed receipt and paper routing steps","Contains contact details and application attachment"
"SRC-GMAIL-06","2025-11-07","gmail","read","Jason Lin and Guan Xinbei","student data form request reply and receipt","Gmail id 19a5cab01038b6be","Student-data spreadsheet returned with payment-account supporting material placed on second worksheet","Contains bank-account-adjacent attachment"
"SRC-GMAIL-07","2025-11-20","gmail","read","Institute of Biophotonics","scholarship distribution data form","Gmail ids 19aa0169f7d20bcd and 19aa06951d53d9a7","Google Form required by 2025-11-21 17:00 for scholarship distribution","Payment-account process reference"
"SRC-GMAIL-08","2025-12-22","gmail","read","Institute of Biophotonics","awardee list notice","Gmail id 19b44e2c2ddf0c5a","College ranking passed school-level review; Jason listed under MOE scholarship; payment and matching-fund notes included","Awardee list"
"SRC-GMAIL-09","2026-03-05","gmail","read","Institute of Biophotonics","114-1 MOE matching-fund statement","Gmail id 19cbd31647c7db9f","Students asked to submit matching-fund Excel with signatures; college/OAA details mention 2026-03-16 deadline and NT$60000 for 114-1","Contains awardee list and accounting templates"
"SRC-GMAIL-10","2026-05-11","gmail","read","Institute of Biophotonics","renewal review and bonus application","Gmail id 19e163c347c3ebcc","Renewal materials due 2026-05-20; current renewal attachments 1-9 parsed where supported, including rules, bonus list, labor-insurance SOP, replacement-student spreadsheet, renewal flow, and evaluation form","Current active deadline"
"SRC-LOCAL-08","2026-05-13","local_archive","active","Codex/Jason","current-machine renewal packet archive","/home/jnclaw/every_on_git_jnclaw/phd-life-system/planning-everything-track/.local/admin/2026-05-nycu-doctoral-scholarship-renewal/","Renamed source packet, extracted text, checksums, prefilled evaluation-form student section, supporting report draft PDF/DOCX, evidence checklist, advisor message, upload checklist, and office-routing note","Ignored local-only folder; may contain email/source files and must not be committed"
